# bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1.100000000000000000e+01,1.000000000000000000e+00,4.499999999999999833e-02,2.999999999999999889e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.200000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,3.500000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.300000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,3.500000000000000333e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.400000000000000000e+01,1.000000000000000000e+00,1.199999999999999956e-01,8.000000000000000167e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.500000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.600000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.700000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.800000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
1.900000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.000000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.100000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.200000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.300000000000000000e+01,1.000000000000000000e+00,8.999999999999999667e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.400000000000000000e+01,1.000000000000000000e+00,4.199999999999999845e-01,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.500000000000000000e+01,1.000000000000000000e+00,4.199999999999999845e-01,2.000000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.600000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.700000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.800000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,2.000000000000000042e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
2.900000000000000000e+01,1.000000000000000000e+00,1.199999999999999956e-01,7.000000000000000666e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
3.000000000000000000e+01,1.000000000000000000e+00,2.000000000000000111e-01,5.999999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
3.100000000000000000e+01,1.000000000000000000e+00,1.499999999999999944e-01,7.000000000000000666e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
3.200000000000000000e+01,1.000000000000000000e+00,2.099999999999999922e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
3.300000000000000000e+01,1.000000000000000000e+00,5.999999999999999778e-02,4.000000000000000083e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.266000000000000014e+01,1.000000000000000000e+00,1.100000000000000089e+00,9.000000000000000222e-01
